,name,naturalness,simplicity,informativity,optimality,Language,comm_cost,complexity,counts
11,sampled_lang_62,1.0,,0.4167,1.0,artificial,0.5833,1,2
7,sampled_lang_5,1.0,,0.5417,1.0,artificial,0.4583,3,2
2,sampled_lang_176,1.0,,0.6667,1.0,artificial,0.3333,4,1
3,sampled_lang_5,1.0,,0.7,1.0,artificial,0.3,6,1
0,sampled_lang_5,1.0,,0.7292,1.0,artificial,0.2708,8,1
5,sampled_lang_5,1.0,,0.7917,0.9999,artificial,0.2083,10,1
4,sampled_lang_5,1.0,,0.8056,1.0,artificial,0.1944,12,1
10,sampled_lang_5,1.0,,0.8333,1.0,artificial,0.1667,14,1
1,sampled_lang_5,1.0,,0.8617,1.0,artificial,0.1383,16,1
9,sampled_lang_5,1.0,,0.9167,1.0,artificial,0.0833,18,1
12,sampled_lang_5,1.0,,0.9375,0.9999,artificial,0.0625,22,1
