,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,optimality,natural,dominant,name
2840,1,,0.4166666666666668,0.5833333333333333,1.0,0.0,False,0.9999371052644644,False,True,sampled_lang_34094
36119,6,,0.6858752166377817,0.3141247833622183,1.0,1.0,False,0.9999837943817218,False,True,sampled_lang_38489
40207,14,,0.8971692663200463,0.1028307336799536,1.0,1.0,True,0.9999702803901598,False,True,sampled_lang_437450
50989,8,,0.7819179664933567,0.2180820335066433,1.0,1.0,True,0.9999926302354376,False,True,sampled_lang_437357
63897,24,,1.0000000000000002,-2.220446049250313e-16,1.0,1.0,True,0.9999999999999998,False,True,sampled_lang_39508
64698,12,,0.8303304929713076,0.1696695070286924,1.0,1.0,False,0.9999665881214634,False,True,sampled_lang_36280
65177,20,,0.9579722703639516,0.0420277296360482,1.0,1.0,True,0.999985839425574,False,True,sampled_lang_37094
65198,4,,0.6666666666666667,0.3333333333333332,1.0,1.0,True,0.9999660085337748,False,True,sampled_lang_34140
71961,10,,0.8100507895243598,0.1899492104756401,1.0,1.0,False,0.9999467422870492,False,True,sampled_lang_107889
75550,18,,0.9391969959560948,0.0608030040439051,1.0,1.0,True,0.999954069108205,False,True,sampled_lang_437566
80338,3,,0.5011734546504911,0.4988265453495089,1.0,0.5,False,0.9999683984736324,False,True,sampled_lang_36077
88112,2,,0.4507028692470634,0.5492971307529366,1.0,1.0,True,0.9999779301845464,False,True,sampled_lang_34038
