,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,optimality,natural,dominant,name
3877,3,,0.2777777777777778,0.7222222222222222,1.0,0.5,False,0.9760190324307888,False,True,sampled_lang_36504
4789,5,,0.3750000000000001,0.6249999999999999,1.0,0.6666666666666666,False,0.9999881716715804,False,True,sampled_lang_43124
8153,12,,0.6666666666666667,0.3333333333333332,1.0,1.0,True,0.9999416788168148,False,True,sampled_lang_39326
9582,10,,0.5833333333333334,0.4166666666666666,1.0,1.0,True,0.9999513990140124,False,True,sampled_lang_43361
13167,6,,0.5000000000000001,0.4999999999999999,1.0,1.0,True,0.9999630993805076,False,True,sampled_lang_61403
14848,16,,0.7500000000000001,0.2499999999999999,1.0,1.0,True,0.9999525563463666,False,True,sampled_lang_43528
16725,10,,0.5833333333333334,0.4166666666666666,1.0,1.0,True,0.9999513990140124,False,True,sampled_lang_103891
16766,16,,0.7500000000000001,0.2499999999999999,1.0,1.0,True,0.9999525563463666,False,True,sampled_lang_65462
17621,22,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,0.9999841854487888,False,True,sampled_lang_47740
18469,10,,0.5833333333333334,0.4166666666666666,1.0,1.0,True,0.9999513990140124,False,True,sampled_lang_77484
29344,22,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,0.9999841854487888,False,True,sampled_lang_40684
31606,16,,0.7500000000000001,0.2499999999999999,1.0,1.0,True,0.9999525563463666,False,True,sampled_lang_44656
31987,3,,0.2777777777777778,0.7222222222222222,1.0,0.5,False,0.9760190324307888,False,True,sampled_lang_39871
39674,10,,0.5833333333333334,0.4166666666666666,1.0,1.0,True,0.9999513990140124,False,True,sampled_lang_46259
40537,10,,0.5833333333333334,0.4166666666666666,1.0,1.0,True,0.9999513990140124,False,True,sampled_lang_39715
47654,22,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,0.9999841854487888,False,True,sampled_lang_38957
49639,4,,0.3333333333333334,0.6666666666666665,1.0,1.0,True,0.9999951399014014,False,True,sampled_lang_34140
52346,22,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,0.9999841854487888,False,True,sampled_lang_40035
57069,10,,0.5833333333333334,0.4166666666666666,1.0,1.0,True,0.9999513990140124,False,True,sampled_lang_75445
61839,16,,0.7500000000000001,0.2499999999999999,1.0,1.0,True,0.9999525563463666,False,True,sampled_lang_43892
66660,22,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,0.9999841854487888,False,True,sampled_lang_40056
70061,24,,1.0000000000000002,-2.220446049250313e-16,1.0,1.0,True,0.9999999999999998,False,True,sampled_lang_38977
71247,18,,0.8333333333333335,0.1666666666666665,1.0,1.0,True,0.9999708394084073,False,True,sampled_lang_40033
71299,12,,0.6666666666666667,0.3333333333333332,1.0,1.0,True,0.9999416788168148,False,True,sampled_lang_40773
72538,12,,0.6666666666666667,0.3333333333333332,1.0,1.0,True,0.9999416788168148,False,True,sampled_lang_42293
72593,18,,0.8333333333333335,0.1666666666666665,1.0,1.0,True,0.9999708394084073,False,True,sampled_lang_44548
73954,3,,0.2777777777777778,0.7222222222222222,1.0,0.5,False,0.9760190324307888,False,True,sampled_lang_43161
74414,5,,0.3750000000000001,0.6249999999999999,1.0,0.6666666666666666,False,0.9999881716715804,False,True,sampled_lang_44878
77145,1,,0.1666666666666667,0.8333333333333333,1.0,0.0,False,0.8800951621539446,False,True,sampled_lang_34094
93936,5,,0.3750000000000001,0.6249999999999999,1.0,0.6666666666666666,False,0.9999881716715804,False,True,sampled_lang_53728
94367,22,,0.9166666666666669,0.0833333333333332,1.0,1.0,True,0.9999841854487888,False,True,sampled_lang_41885
96483,16,,0.7500000000000001,0.2499999999999999,1.0,1.0,True,0.9999525563463666,False,True,sampled_lang_46785
