complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
20,0.7014925373134329,0.2638888888888889,0.7361111111111112,0.5,0.5,False,True,True,False,True,True,True,True,0.8050394657612835,False,False,
11,0.835820895522388,0.1944444444444444,0.8055555555555556,0.5,0.0,False,True,True,False,True,True,True,True,0.864914149793303,False,False,
39,0.417910447761194,0.3215277777777778,0.6784722222222221,0.2857142857142857,0.2857142857142857,False,True,True,False,True,True,True,True,0.6132131300541934,False,False,
23,0.6567164179104478,0.3657407407407407,0.6342592592592593,0.2,0.2,False,True,True,False,True,True,True,True,0.7810305350990612,False,False,
22,0.6716417910447761,0.4097222222222222,0.5902777777777777,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.799516886458846,False,False,
5,0.9253731343283582,0.1666666666666666,0.8333333333333333,0.0,0.0,False,True,True,False,True,True,True,True,0.8775017686343769,False,False,
11,0.835820895522388,0.2465277777777778,0.7534722222222222,0.75,0.25,False,True,True,False,True,True,True,True,0.8910597476011146,False,False,
32,0.5223880597014925,0.3287037037037037,0.6712962962962963,0.4285714285714285,0.2857142857142857,False,True,True,False,True,True,True,True,0.6839706493944188,False,False,
1,0.9850746268656716,0.1666666666666666,0.8333333333333333,1.0,1.0,True,True,True,False,True,True,True,True,0.8818211590027891,False,True,
27,0.5970149253731343,0.5925925925925926,0.4074074074074074,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.8132720450695294,False,False,
34,0.4925373134328358,0.375,0.625,0.5,0.5,False,True,True,False,True,True,True,True,0.6823948375562954,False,False,
9,0.8656716417910448,0.4166666666666667,0.5833333333333333,0.6666666666666666,0.6666666666666666,False,True,True,False,True,True,True,True,0.9315903163604716,False,False,
24,0.6417910447761195,0.3333333333333333,0.6666666666666666,0.2,0.2,False,True,True,False,True,True,True,True,0.7684595320011964,False,False,
9,0.8656716417910448,0.2083333333333333,0.7916666666666666,0.5,0.5,False,True,True,False,True,True,True,True,0.8880789126490589,False,False,
