complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name
4,,0.7089591758135951,0.2910408241864048,1.0,1.0,True,True,True,False,True,True,True,True,0.9999474301787956,False,True,sampled_lang_63225
1,,0.4765068361255535,0.5234931638744464,1.0,1.0,True,True,True,False,True,True,True,True,0.9999451348691324,False,True,sampled_lang_53693
11,,0.9391969959560946,0.0608030040439053,1.0,1.0,True,True,True,False,True,True,True,True,0.9999657457676144,True,True,Javanese-Paciran
5,,0.7619391488542266,0.2380608511457733,1.0,1.0,True,True,True,False,True,True,True,True,0.9999684589412032,False,True,sampled_lang_64337
6,,0.7896687849027535,0.2103312150972465,1.0,1.0,True,True,True,False,True,True,True,True,0.9999574222746046,False,True,sampled_lang_42706
3,,0.6842624687078758,0.3157375312921242,1.0,1.0,False,True,True,False,True,True,True,True,0.9999862895217184,False,True,sampled_lang_42836
9,,0.8929448295782783,0.1070551704217217,1.0,1.0,False,True,True,False,True,True,True,True,0.999974412840208,True,True,Gitksan
8,,0.8612073945696127,0.1387926054303873,1.0,1.0,True,True,True,False,True,True,True,True,0.9999942642601042,False,True,sampled_lang_63187
2,,0.611243500866551,0.388756499133449,1.0,1.0,True,True,True,False,True,True,True,True,0.9999527448261492,False,True,sampled_lang_43964
7,,0.8597992489890236,0.1402007510109764,1.0,1.0,True,True,True,False,True,True,True,True,0.999959516297423,False,True,sampled_lang_36918
