,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,optimality,natural,dominant,name
2511,10,,0.7638889116545519,0.2361110883454481,1.0,1.0,False,True,0.9999558112870304,False,True,sampled_lang_9632
3614,40,,1.0000000298023224,-2.9802322387695312e-08,1.0,1.0,True,True,0.9999999141744298,False,True,sampled_lang_34051
5771,6,,0.6805555758376914,0.3194444241623085,1.0,1.0,False,True,0.9999241462484612,False,True,sampled_lang_5718
9320,10,,0.7638889116545519,0.2361110883454481,1.0,1.0,False,True,0.9999558112870304,False,True,sampled_lang_9306
12595,18,,0.8750000260770321,0.1249999739229679,1.0,1.0,False,True,0.9999687231280918,False,True,sampled_lang_13939
12717,4,,0.6666666865348815,0.3333333134651185,1.0,1.0,True,True,0.9999433046747064,False,True,sampled_lang_469
13577,20,,0.9166666939854622,0.0833333060145378,1.0,1.0,True,True,0.999983895421906,True,True,Javanese-Paciran
15348,22,,0.9375000279396772,0.0624999720603227,1.0,1.0,True,True,0.9999843429436148,False,True,sampled_lang_17898
20445,3,,0.4791666809469462,0.5208333190530539,1.0,0.5,False,True,0.99997048508308,False,True,sampled_lang_1995
21589,3,,0.4791666809469461,0.5208333190530539,1.0,0.5,False,True,0.99997048508308,False,True,sampled_lang_476
24048,16,,0.854166692122817,0.1458333078771829,1.0,1.0,True,True,0.9999681060452512,False,True,sampled_lang_13950
28700,12,,0.7986111349115769,0.2013888650884231,1.0,1.0,False,True,0.9999592331342096,False,True,sampled_lang_9748
32376,1,,0.416666679084301,0.583333320915699,1.0,0.0,False,True,0.9999799577689604,False,True,sampled_lang_63
34220,8,,0.7152777990947168,0.2847222009052832,1.0,1.0,True,True,0.999942376558916,False,True,sampled_lang_5024
