complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name,dp
22,0.12,0.3408474993840847,0.6591525006159152,1.0,1.0,True,False,False,False,True,False,False,False,0.7374239842743465,False,False,Thai_variant_26,Thai,false
16,0.36,0.4025314116777532,0.5974685883222468,1.0,1.0,True,True,False,True,False,True,False,False,0.8098674293980167,False,False,Hungarian_variant_43,Hungarian,nontrivial
13,0.48,0.3976810790835181,0.6023189209164819,1.0,1.0,True,True,False,True,False,True,False,False,0.8315836513707888,False,False,Hebrew_variant_43,Hebrew,nontrivial
19,0.24,0.3743532889874353,0.6256467110125646,0.8,0.8,False,True,False,True,False,True,False,False,0.7760811709406029,False,False,Hungarian_variant_92,Hungarian,nontrivial
22,0.12,0.3727057156935206,0.6272942843064794,1.0,1.0,True,True,False,True,True,False,False,False,0.7665503765771182,False,False,Thai_variant_84,Thai,nontrivial
22,0.12,0.3390921409214092,0.6609078590785908,1.0,1.0,True,False,False,False,True,False,False,False,0.7358190219895069,False,False,Thai_variant_2,Thai,false
8,0.6799999999999999,0.3579083518107909,0.6420916481892092,1.0,1.0,False,True,False,True,True,True,False,False,0.8553423561266414,False,False,Hausa_variant_67,Hausa,nontrivial
17,0.31999999999999995,0.2710643015521065,0.7289356984478935,0.3333333333333333,0.3333333333333333,False,True,False,True,False,True,False,False,0.6869976138769525,False,False,Hausa_variant_79,Hausa,nontrivial
19,0.24,0.2923133776792314,0.7076866223207686,0.8,0.8,False,False,False,False,True,False,False,True,0.7010755385350335,False,False,Hebrew_variant_50,Hebrew,dp_medium
11,0.56,0.2908351810790835,0.7091648189209164,1.0,1.0,True,False,False,False,True,False,False,False,0.7674400384595996,False,False,Hausa_variant_2,Hausa,false
12,0.52,0.3291605075141661,0.6708394924858339,0.75,0.75,False,True,False,True,True,False,False,False,0.7874250092843744,False,False,Russian_variant_30,Russian,nontrivial
12,0.52,0.3097591771372259,0.6902408228627741,0.75,0.75,False,True,False,True,True,False,False,False,0.7714108113427078,False,False,Russian_variant_84,Russian,nontrivial
8,0.6799999999999999,0.5266075388026609,0.4733924611973391,1.0,1.0,False,True,False,True,True,True,False,False,0.9999511176217646,False,True,sampled_lang_0,sampled_lang_0,nontrivial
8,0.6799999999999999,0.2755912786400591,0.7244087213599408,1.0,1.0,True,False,False,False,True,True,False,False,0.7894576124030677,False,False,Hausa_variant_42,Hausa,false
25,0.0,0.4038556294653856,0.5961443705346143,0.8571428571428571,0.8571428571428571,False,True,False,True,False,False,True,True,0.787005430321876,False,False,Thai_variant_38,Thai,dp_medium
18,0.28,0.2820891845282089,0.717910815471791,0.5,0.5,False,False,False,False,True,True,False,False,0.6944025307035888,False,False,Russian_variant_68,Russian,false
8,0.6799999999999999,0.3291759053954176,0.6708240946045824,1.0,1.0,True,False,False,False,False,True,False,False,0.8306490227688861,False,False,Hausa_variant_44,Hausa,false
14,0.43999999999999995,0.3082501847745751,0.6917498152254249,0.6666666666666666,0.6666666666666666,False,True,False,True,False,True,True,True,0.7453660691924504,False,False,Hausa_variant_90,Hausa,dp_medium
21,0.16000000000000003,0.2532951465878295,0.7467048534121705,0.5,0.5,False,False,False,False,True,True,False,False,0.6600532999341338,False,False,Russian_variant_18,Russian,false
15,0.4,0.3540588814979059,0.645941118502094,0.75,0.75,False,True,False,True,True,False,False,False,0.7707778640596279,False,False,Russian_variant_48,Russian,nontrivial
22,0.12,0.4031011332840601,0.5968988667159398,1.0,1.0,True,True,False,True,True,True,False,False,0.7943393386330106,False,False,Thai_variant_67,Thai,nontrivial
25,0.0,0.3338260655333826,0.6661739344666173,0.8571428571428571,0.8571428571428571,False,False,False,False,True,True,False,False,0.7229801666139943,False,False,Thai_variant_18,Thai,false
22,0.12,0.3764935944813994,0.6235064055186006,1.0,1.0,True,True,False,True,True,False,False,False,0.7700132323603601,False,False,Thai_variant_60,Thai,nontrivial
16,0.36,0.3319475240206948,0.6680524759793052,1.0,1.0,True,False,False,False,True,False,False,False,0.745335066303259,False,False,Hungarian_variant_26,Hungarian,false
17,0.31999999999999995,0.3209534368070953,0.6790465631929046,0.3333333333333333,0.3333333333333333,False,True,False,True,False,True,False,False,0.7326094046172045,False,False,Hausa_variant_97,Hausa,nontrivial
8,0.6799999999999999,0.3434959349593496,0.6565040650406504,1.0,1.0,False,True,False,True,True,True,False,False,0.8429838728399702,False,False,Hausa_variant_61,Hausa,nontrivial
16,0.36,0.3525498891352551,0.6474501108647449,1.0,1.0,True,False,False,False,False,True,False,False,0.7641714916003269,False,False,Hebrew_variant_1,Hebrew,false
22,0.12,0.3982969943335797,0.6017030056664203,1.0,1.0,True,True,False,True,True,True,False,False,0.7899474894384736,False,False,Thai_variant_61,Thai,nontrivial
21,0.16000000000000003,0.2457193890120719,0.7542806109879281,0.5,0.5,False,True,False,True,True,False,False,False,0.653127007878002,False,False,Russian_variant_36,Russian,nontrivial
19,0.24,0.38269894062577,0.6173010593742301,0.5,0.5,False,True,False,True,True,True,False,False,0.7837109983873114,False,False,Basque_variant_66,Basque,nontrivial
