complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,dp_medium,optimality,natural,dominant,name,original_name
11,,0.3859632914510963,0.6140367085489037,1.0,1.0,True,True,False,True,False,False,True,True,0.975234931209126,False,True,Russian_variant_0,Russian
11,,0.3859632914510963,0.6140367085489037,1.0,1.0,True,True,False,True,False,False,True,True,0.975234931209126,False,True,Russian_variant_5,Russian
12,,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.9999763226834684,False,True,Basque_variant_0,Basque
12,,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.9999763226834684,False,True,Basque_variant_1,Basque
12,,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.9999763226834684,False,True,Basque_variant_2,Basque
12,,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.9999763226834684,False,True,Basque_variant_3,Basque
12,,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.9999763226834684,False,True,Basque_variant_4,Basque
12,,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.9999763226834684,False,True,Basque_variant_5,Basque
11,,0.3859632914510963,0.6140367085489037,1.0,1.0,True,True,False,True,False,False,True,True,0.975234931209126,True,True,Russian,Russian
12,,0.465539541759054,0.534460458240946,1.0,1.0,True,True,False,True,True,True,True,True,0.9999763226834684,True,True,Basque,Basque
